,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-10-02,136.25,136.369995,133.580002,134.649994,130.460449,30521700
1,2019-10-03,134.949997,136.75,133.220001,136.279999,132.039703,24132900
2,2019-10-04,136.75,138.25,136.419998,138.119995,133.822464,22897700
3,2019-10-07,137.139999,138.179993,137.020004,137.119995,132.853592,15303700
4,2019-10-08,137.080002,137.759995,135.619995,135.669998,131.44873,25550500
5,2019-10-09,137.460007,138.699997,136.970001,138.240005,133.938721,19749900
6,2019-10-10,138.490005,139.669998,138.25,139.100006,134.772003,17654600
7,2019-10-11,140.119995,141.029999,139.5,139.679993,135.333939,25446000
8,2019-10-14,139.690002,140.289993,139.520004,139.550003,135.207977,13304300
9,2019-10-15,140.059998,141.789993,139.809998,141.570007,137.165115,19695700
10,2019-10-16,140.789993,140.990005,139.529999,140.410004,136.041229,20751600
11,2019-10-17,140.949997,141.419998,139.020004,139.690002,135.343613,21460600
12,2019-10-18,139.759995,140.0,136.559998,137.410004,133.134567,32273500
13,2019-10-21,138.449997,138.5,137.009995,138.429993,134.122849,20078200
14,2019-10-22,138.970001,140.009995,136.259995,136.369995,132.126953,27431000
15,2019-10-23,136.880005,137.449997,135.610001,137.240005,132.969849,29844600
16,2019-10-24,139.389999,140.419998,138.669998,139.940002,135.585846,37029300
17,2019-10-25,139.339996,141.139999,139.199997,140.729996,136.351257,25959700
18,2019-10-28,144.399994,145.669998,143.509995,144.190002,139.703598,35280100
19,2019-10-29,144.080002,144.5,142.649994,142.830002,138.385941,20589500
20,2019-10-30,143.520004,145.0,142.789993,144.610001,140.110535,18496600
21,2019-10-31,144.899994,144.929993,142.990005,143.369995,138.909103,24605100
22,2019-11-01,144.259995,144.419998,142.970001,143.720001,139.248276,33128400
23,2019-11-04,144.830002,145.0,144.160004,144.550003,140.052444,16912000
24,2019-11-05,144.970001,145.020004,143.910004,144.460007,139.96521,18250200
25,2019-11-06,144.369995,144.520004,143.199997,144.059998,139.577652,16575800
26,2019-11-07,143.839996,144.880005,143.770004,144.259995,139.771423,17786700
27,2019-11-08,143.979996,145.990005,143.759995,145.960007,141.418549,16732700
28,2019-11-11,145.339996,146.419998,144.729996,146.110001,141.563873,14362600
29,2019-11-12,146.279999,147.570007,146.059998,147.070007,142.494003,18641600
30,2019-11-13,146.740005,147.460007,146.279999,147.309998,142.726501,16919200
31,2019-11-14,147.020004,148.410004,147.0,148.059998,143.453247,19729800
32,2019-11-15,148.929993,149.990005,148.270004,149.970001,145.303757,23485700
33,2019-11-18,150.070007,150.550003,148.979996,150.339996,145.662247,21534000
34,2019-11-19,150.880005,151.330002,150.199997,150.389999,145.710678,23935700
35,2019-11-20,150.309998,150.839996,148.460007,149.619995,145.457947,25696800
36,2019-11-21,149.399994,149.800003,148.5,149.479996,145.321823,18576100
37,2019-11-22,150.070007,150.300003,148.820007,149.589996,145.428772,15901800
38,2019-11-25,150.0,151.350006,149.919998,151.229996,147.023132,22420900
39,2019-11-26,151.360001,152.419998,151.320007,152.029999,147.800919,24620100
40,2019-11-27,152.330002,152.5,151.520004,152.320007,148.08284,15184400
41,2019-11-29,152.100006,152.300003,151.279999,151.380005,147.168961,11977300
42,2019-12-02,151.809998,151.830002,148.320007,149.550003,145.389908,27418400
43,2019-12-03,147.490005,149.429993,146.649994,149.309998,145.15657,24066000
44,2019-12-04,150.139999,150.179993,149.199997,149.850006,145.681549,17574700
45,2019-12-05,150.050003,150.320007,149.479996,149.929993,145.759323,17869100
46,2019-12-06,150.990005,151.869995,150.270004,151.75,147.528687,16403500
47,2019-12-09,151.070007,152.210007,150.910004,151.360001,147.149551,16687400
48,2019-12-10,151.289993,151.889999,150.759995,151.130005,146.925949,16476100
49,2019-12-11,151.539993,151.869995,150.330002,151.699997,147.480087,18856600
50,2019-12-12,151.649994,153.440002,151.020004,153.240005,148.977249,24612100
51,2019-12-13,153.0,154.889999,152.830002,154.529999,150.231339,23845400
52,2019-12-16,155.110001,155.899994,154.820007,155.529999,151.203552,24144200
53,2019-12-17,155.449997,155.710007,154.449997,154.690002,150.386902,25425600
54,2019-12-18,154.300003,155.479996,154.179993,154.369995,150.075806,24129200
55,2019-12-19,154.0,155.770004,153.75,155.710007,151.378525,24958900
56,2019-12-20,157.350006,158.490005,156.289993,157.410004,153.031235,53477500
57,2019-12-23,158.119995,158.119995,157.270004,157.410004,153.031235,17718200
58,2019-12-24,157.479996,157.710007,157.119995,157.380005,153.002075,8989200
59,2019-12-26,157.559998,158.729996,157.399994,158.669998,154.256195,14520600
60,2019-12-27,159.449997,159.550003,158.220001,158.960007,154.538147,18412800
61,2019-12-30,158.990005,159.020004,156.729996,157.589996,153.206223,16348400
62,2019-12-31,156.770004,157.770004,156.449997,157.699997,153.313141,18369400
63,2020-01-02,158.779999,160.729996,158.330002,160.619995,156.151962,22622100
64,2020-01-03,158.320007,159.949997,158.059998,158.619995,154.207565,21116200
65,2020-01-06,157.080002,159.100006,156.509995,159.029999,154.606186,20813700
66,2020-01-07,159.320007,159.669998,157.320007,157.580002,153.196487,21634100
67,2020-01-08,158.929993,160.800003,157.949997,160.089996,155.636703,27746500
68,2020-01-09,161.839996,162.220001,161.029999,162.089996,157.581055,21385000
69,2020-01-10,162.820007,163.220001,161.179993,161.339996,156.851913,20725900
70,2020-01-13,161.759995,163.309998,161.259995,163.279999,158.737946,21626500
71,2020-01-14,163.389999,163.600006,161.720001,162.130005,157.619965,23477400
72,2020-01-15,162.619995,163.940002,162.570007,163.179993,158.640747,21417900
73,2020-01-16,164.350006,166.240005,164.029999,166.169998,161.547516,23865400
74,2020-01-17,167.419998,167.470001,165.429993,167.100006,162.451691,34371700
75,2020-01-21,166.679993,168.190002,166.429993,166.5,161.868362,29517200
76,2020-01-22,167.399994,167.490005,165.679993,165.699997,161.090637,24138800
77,2020-01-23,166.190002,166.800003,165.270004,166.720001,162.082245,19680800
78,2020-01-24,167.509995,167.529999,164.449997,165.039993,160.448975,24918100
79,2020-01-27,161.149994,163.380005,160.199997,162.279999,157.765762,32078100
80,2020-01-28,163.779999,165.759995,163.070007,165.460007,160.857315,24899900
81,2020-01-29,167.839996,168.75,165.690002,168.039993,163.365524,34754500
82,2020-01-30,174.050003,174.050003,170.789993,172.779999,167.973663,51597500
83,2020-01-31,172.210007,172.399994,169.580002,170.229996,165.494598,36142700
84,2020-02-03,170.429993,174.5,170.399994,174.380005,169.529175,30107000
85,2020-02-04,177.139999,180.639999,176.309998,180.119995,175.109512,36433300
86,2020-02-05,184.029999,184.199997,178.410004,179.899994,174.895599,39186300
87,2020-02-06,180.970001,183.820007,180.059998,183.630005,178.521835,27751400
88,2020-02-07,182.850006,185.630005,182.479996,183.889999,178.774628,33529100
89,2020-02-10,183.580002,188.839996,183.25,188.699997,183.450821,35844300
90,2020-02-11,190.649994,190.699997,183.5,184.440002,179.309341,53159900
91,2020-02-12,185.580002,185.850006,181.850006,184.710007,179.571823,47062900
92,2020-02-13,183.080002,186.229996,182.869995,183.710007,178.599625,35295800
93,2020-02-14,183.25,185.410004,182.649994,185.350006,180.194,23149500
94,2020-02-18,185.610001,187.699997,185.5,187.229996,182.021729,27792200
95,2020-02-19,188.059998,188.179993,186.470001,187.279999,182.567627,29997500
96,2020-02-20,186.949997,187.25,181.100006,184.419998,179.779617,36862400
97,2020-02-21,183.169998,183.5,177.25,178.589996,174.096298,48572600
98,2020-02-24,167.770004,174.550003,163.229996,170.889999,166.590027,68311100
99,2020-02-25,174.199997,174.839996,167.649994,168.070007,163.841019,68073300
100,2020-02-26,169.710007,173.259995,168.210007,170.169998,165.888138,56206100
101,2020-02-27,163.320007,167.029999,157.979996,158.179993,154.199844,93174900
